hrr,name,state,n_hospitals,total_beds,degree_cent,betweenness_cent,eigenvector_cent,btw_rank,deg_rank,community
428,VA- LYNCHBURG,VA,2,265,0.013201320132013201,0.1087032544314034,2.4940257356318294e-06,11,198,0
429,VA- NEWPORT NEWS,VA,6,1110,0.006600660066006601,0.0,3.32815227125195e-05,281,286,0
430,VA- NORFOLK,NC,12,2484,0.019801980198019802,0.1928070290472756,0.0007658151931288006,1,93,0
431,VA- RICHMOND,VA,17,3611,0.023102310231023104,0.051843594955522036,6.552890911837436e-05,64,56,0
432,VA- ROANOKE,VA,14,2530,0.019801980198019802,0.03969138635717876,3.7023780875668104e-05,80,93,0
435,VA- WINCHESTER,VA,9,907,0.013201320132013201,0.0025134963827508575,5.098021598053093e-05,223,198,7
437,WA- EVERETT,WA,8,681,0.009900990099009901,0.0,0.00021483319365085446,281,251,2
438,WA- OLYMPIA,WA,7,675,0.013201320132013201,0.00657880357572181,0.00013832326705715377,196,198,2
439,WA- SEATTLE,WA,23,4404,0.013201320132013201,0.0,3.3647581051059947e-05,281,198,2
440,WA- SPOKANE,ID,43,2825,0.0165016501650165,0.00021856490284790067,0.00303569628056499,250,142,2
441,WA- TACOMA,WA,5,1200,0.006600660066006601,0.0,5.371828015967205e-06,281,286,2
442,WA- YAKIMA,WA,6,421,0.0165016501650165,0.013857014840556903,0.0002839452991332907,148,142,2
443,WV- CHARLESTON,WV,23,2801,0.026402640264026403,0.0367407601687321,0.0002723618890105769,89,31,7
444,WV- HUNTINGTON,KY,7,1647,0.009900990099009901,0.03560422267392302,0.00010339503336944727,91,251,7
445,WV- MORGANTOWN,MD,10,1445,0.019801980198019802,0.058302187834677506,8.305954382655514e-05,58,93,7
446,WI- APPLETON,WI,7,580,0.0165016501650165,0.0023495727056149322,0.0007382318057034363,225,142,10
